,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
793,000520,삼일제약,7170,1,150,2.14,155530284870,
794,000540,흥국화재,3665,2,-40,-1.08,235449293925,
795,000590,CS홀딩스,66200,2,-800,-1.19,76426708400,
796,000650,천일고속,145200,1,1700,1.18,207522744000,
797,000680,LS네트웍스,2990,1,5,0.17,235621017840,
798,000700,유수홀딩스,6570,1,240,3.79,171094704840,
799,000760,이화산업,13900,3,0,0.0,38920000000,
800,000850,화천기공,36050,2,-650,-1.77,79310000000,
801,000860,강남제비스코,12570,2,-10,-0.08,163410000000,
802,000890,보해양조,1365,2,-3,-0.22,37706794125,
803,000910,유니온,2960,1,10,0.34,46210392240,
804,000950,전방,31100,2,-900,-2.81,52248000000,
805,000970,한국주철관,6690,2,-30,-0.45,152535345000,
806,001020,페이퍼코리아,2310,2,-10,-0.43,82228289220,
807,001070,대한방직,5860,2,-130,-2.17,31058000000,
808,001080,만호제강,4035,1,30,0.75,141688863600,
809,001130,대한제분,11500,2,-20,-0.17,194350000000,
810,001210,금호전기,11740,2,-210,-1.76,145294427840,
811,001250,GS글로벌,2685,1,35,1.32,221603156340,
812,001260,남광토건,7800,1,10,0.13,76694061600,
813,001290,상상인증권,4185,2,-35,-0.83,90678169440,
814,001340,PKC,5000,2,-110,-2.15,225140445000,
815,001360,삼성제약,1365,2,-12,-0.87,128531237835,
816,001380,SG글로벌,1237,2,-2,-0.16,27810321827,
817,001420,태원물산,2915,1,15,0.52,22154000000,
818,001460,BYC,37850,2,-450,-1.17,236416777500,
819,001470,삼부토건,5820,0,0,0.0,227794235460,
820,001520,동양,1070,2,-8,-0.74,114620574240,
821,001550,조비,10840,3,0,0.0,56283870760,
822,001560,제일연마,9110,3,0,0.0,69236000000,
823,001620,케이비아이동국실업,2155,2,-5,-0.23,47967295930,
824,001630,종근당홀딩스,38800,2,-200,-0.51,194382606800,
825,001770,SHD,9670,2,-830,-7.9,11747870260,
826,001780,알루코,1605,2,-19,-1.17,155412361860,
827,001790,대한제당,2815,2,-30,-1.05,242770990725,
828,002070,비비안,5310,2,-70,-1.3,25497558000,
